vehicle,line_code,date
DE702,303,2019-03-09
DE706,303,2019-03-09
DE708,303,2019-03-09
DE712,303,2019-03-09
DE714,303,2019-03-09
DE715,303,2019-03-09
DE716,303,2019-03-09
DE719,303,2019-03-09
DE720,303,2019-03-09
DL300,305,2019-03-09
DL301,023,2019-03-09
DL302,022,2019-03-09
DL304,304,2019-03-09
DL305,023,2019-03-09
DL306,023,2019-03-09
DL310,304,2019-03-09
DL311,469,2019-03-09
DL313,469,2019-03-09
DL314,305,2019-03-09
DL315,022,2019-03-09
DL316,305,2019-03-09
DL317,023,2019-03-09
DN021,560,2019-03-09
DN028,002,2019-03-09
DN029,002,2019-03-09
DN601,467,2019-03-09
DN602,466,2019-03-09
DN604,387,2019-03-09
DR104,021,2019-03-09
DR105,020,2019-03-09
DR106,050,2019-03-09
DR115,021,2019-03-09
DR406,335,2019-03-09
DR408,216,2019-03-09
DR801,022,2019-03-09
DR803,022,2019-03-09
DR804,023,2019-03-09
EA001,528,2019-03-09
EA002,513,2019-03-09
EA003,521,2019-03-09
EA006,657,2019-03-09
EA007,515,2019-03-09
EA008,335,2019-03-09
EA009,528,2019-03-09
EA010,511,2019-03-09
EA011,621,2019-03-09
EA012,621,2019-03-09
EA013,621,2019-03-09
EA014,621,2019-03-09
EA023,621,2019-03-09
EA024,535,2019-03-09
EA025,657,2019-03-09
EA074,512,2019-03-09
EA077,512,2019-03-09
EA166,532,2019-03-09
EA168,531,2019-03-09
EA169,536,2019-03-09
EA175,549,2019-03-09
EA176,511,2019-03-09
EA177,531,2019-03-09
EA181,523,2019-03-09
EA183,519,2019-03-09
EA186,532,2019-03-09
EA187,532,2019-03-09
EA189,522,2019-03-09
EA190,338,2019-03-09
EA192,522,2019-03-09
EA194,533,2019-03-09
EA195,515,2019-03-09
EA197,513,2019-03-09
EA198,515,2019-03-09
EC003,475,2019-03-09
EC007,471,2019-03-09
EC008,663,2019-03-09
EC010,561,2019-03-09
EC011,475,2019-03-09
EC012,475,2019-03-09
EC013,561,2019-03-09
EC014,471,2019-03-09
EL068,506,2019-03-09
EL070,506,2019-03-09
EL071,505,2019-03-09
EL073,507,2019-03-09
EL074,505,2019-03-09
EL302,506,2019-03-09
EL303,507,2019-03-09
EL305,505,2019-03-09
EL306,506,2019-03-09
EL307,507,2019-03-09
EL308,507,2019-03-09
EL309,505,2019-03-09
EL310,505,2019-03-09
EL312,505,2019-03-09
EL314,507,2019-03-09
EL316,022,2019-03-09
EL317,507,2019-03-09
EN601,594,2019-03-09
ER802,022,2019-03-09
GA001,534,2019-03-09
GA002,534,2019-03-09
GA003,643,2019-03-09
GA139,528,2019-03-09
GA141,625,2019-03-09
GA143,642,2019-03-09
GA153,683,2019-03-09
GA155,649,2019-03-09
GA156,625,2019-03-09
GA157,541,2019-03-09
GA167,631,2019-03-09
GA168,548,2019-03-09
GA169,638,2019-03-09
GA170,540,2019-03-09
GA171,643,2019-03-09
GA172,638,2019-03-09
GA176,540,2019-03-09
GA199,640,2019-03-09
GA200,548,2019-03-09
GA201,624,2019-03-09
GA203,625,2019-03-09
GA206,528,2019-03-09
GA207,636,2019-03-09
GA210,635,2019-03-09
GA212,635,2019-03-09
GA213,625,2019-03-09
GA949,616,2019-03-09
GB602,021,2019-03-09
GC015,665,2019-03-09
GC017,663,2019-03-09
GC018,665,2019-03-09
GD335,503,2019-03-09
GD337,603,2019-03-09
GD338,603,2019-03-09
GD339,603,2019-03-09
GD341,603,2019-03-09
GD343,603,2019-03-09
GD345,503,2019-03-09
GD346,603,2019-03-09
GD347,603,2019-03-09
GD350,602,2019-03-09
GE700,500,2019-03-09
GE704,500,2019-03-09
GE707,500,2019-03-09
GE709,550,2019-03-09
GE710,550,2019-03-09
GE711,550,2019-03-09
GE714,500,2019-03-09
GE716,500,2019-03-09
GE719,603,2019-03-09
GE720,203,2019-03-09
GE722,203,2019-03-09
GE723,200,2019-03-09
GE724,200,2019-03-09
GI001,649,2019-03-09
GI002,541,2019-03-09
GI004,637,2019-03-09
GI005,545,2019-03-09
GI006,541,2019-03-09
GI007,547,2019-03-09
GI008,643,2019-03-09
GI009,624,2019-03-09
GI010,633,2019-03-09
GI011,636,2019-03-09
GI012,641,2019-03-09
GI013,665,2019-03-09
GI014,633,2019-03-09
GI015,542,2019-03-09
GI016,542,2019-03-09
GI017,528,2019-03-09
GL306,508,2019-03-09
GL311,506,2019-03-09
GL312,507,2019-03-09
GL314,506,2019-03-09
GL315,506,2019-03-09
GL316,508,2019-03-09
GL317,508,2019-03-09
GL318,508,2019-03-09
GL319,508,2019-03-09
GL321,508,2019-03-09
GL324,506,2019-03-09
GL325,022,2019-03-09
GN600,662,2019-03-09
GN601,666,2019-03-09
GN603,689,2019-03-09
GN603,662,2019-03-09
GN604,661,2019-03-09
GN605,661,2019-03-09
GR021,502,2019-03-09
GR022,602,2019-03-09
GR023,602,2019-03-09
GR024,503,2019-03-09
GR028,503,2019-03-09
GR029,503,2019-03-09
GR032,503,2019-03-09
GR036,503,2019-03-09
HA001,655,2019-03-09
HA002,612,2019-03-09
HA003,655,2019-03-09
HA006,600,2019-03-09
HA007,627,2019-03-09
HA008,619,2019-03-09
HA010,712,2019-03-09
HA011,653,2019-03-09
HA013,627,2019-03-09
HA014,684,2019-03-09
HA015,628,2019-03-09
HA016,612,2019-03-09
HA017,712,2019-03-09
HA019,630,2019-03-09
HA020,619,2019-03-09
HA021,615,2019-03-09
HA022,653,2019-03-09
HA024,646,2019-03-09
HA025,617,2019-03-09
HA027,658,2019-03-09
HA028,680,2019-03-09
HA030,650,2019-03-09
HA190,617,2019-03-09
HA192,680,2019-03-09
HA194,646,2019-03-09
HA195,659,2019-03-09
HA196,659,2019-03-09
HA197,690,2019-03-09
HA198,690,2019-03-09
HA259,679,2019-03-09
HA259,608,2019-03-09
HA261,609,2019-03-09
HA264,619,2019-03-09
HA286,685,2019-03-09
HA288,685,2019-03-09
HA290,619,2019-03-09
HA292,684,2019-03-09
HA296,617,2019-03-09
HA602,684,2019-03-09
HA603,684,2019-03-09
HB300,060,2019-03-09
HB301,060,2019-03-09
HB302,060,2019-03-09
HB601,021,2019-03-09
HB602,040,2019-03-09
HB603,040,2019-03-09
HB604,040,2019-03-09
HB605,040,2019-03-09
HB606,021,2019-03-09
HC300,180,2019-03-09
HC302,180,2019-03-09
HC850,265,2019-03-09
